post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
206302354.i-tested-nina-with-a-brand-idea-it,2026-07-09T14:52:44.129Z,true,2026-07-09T14:52:44.697Z,2026-07-09T14:52:44.697Z,newsletter,everyone,I Tested Nina With a Brand Idea. It Saw Through My Strategy in Eight Questions.,"I made up a brand called Kaya. Luxury fashion, abstract prints, men and women. I thought I had a clear picture of what it was. Nina told me I didn't.",
204717679.shapes-in-our-world-how-we-built,2026-07-02T18:30:50.639Z,true,2026-07-02T18:30:50.868Z,2026-07-02T18:30:50.868Z,podcast,everyone,Shapes in Our World: How We Built an AI-Powered Geometry Song for Early Learners,"What a children’s song about circles and stars taught us about spatial reasoning, tactile media, and who gets to make beautiful things for kids.",
204717667.4ff,,false,,,newsletter,only_paid,,,
202135977.the-velvet-straitjacket-of-the-corporate,,false,,,newsletter,only_paid,,,
201488223.meet-wilkes-the-storytelling-tool,2026-06-10T18:01:22.628Z,true,2026-06-10T18:01:22.743Z,2026-06-10T18:01:22.743Z,newsletter,everyone,Meet Wilkes: The Storytelling Tool Built for Nonprofits ,,
199352009.the-ai-editor-that-actually-made,2026-05-26T17:14:43.731Z,true,2026-05-26T17:14:43.928Z,2026-05-26T17:14:43.928Z,newsletter,everyone,The AI Editor That Actually Made Me a Better Writer,"Prof. Nik Bear Brown's Eddy the Editor didn't rewrite my Substack drafts, it showed me exactly why they weren't working.",
199346070.the-ai-editor-that-actually-made,,false,,,newsletter,only_paid,,,
195638878.the-ghost-in-the-machine-why-ai-is,2026-05-12T21:59:39.137Z,true,2026-05-12T21:59:39.332Z,2026-05-12T21:59:39.332Z,newsletter,everyone,The Ghost in the Machine: Why AI is Rewriting Your Reputation (and How to Take the Pen Back),"SEO isn't dead, it just got a brain transplant. Welcome to the era where Answer Engines crave human expertise.",
195403748.no-i-dont-just-type-a-prompt-and,2026-04-25T14:03:03.488Z,true,2026-04-25T14:03:03.731Z,2026-04-25T14:03:03.731Z,newsletter,only_paid,"No, I Don't Just ""Type a Prompt and Post""",I wish. That would be a very chill job.,
195382076.free-the-em-dash,2026-04-25T13:03:04.963Z,true,2026-04-25T13:03:05.097Z,2026-04-25T13:03:05.097Z,newsletter,everyone,Free the Em Dash,The em dash didn't do anything wrong. How a punctuation mark became the scapegoat for our AI anxiety—and why that should bother anyone who cares about branding.,
